,token,lemma,pos,tag,dep,is_sentence_start,is_sentence_end
133,ἐκείναις,ἐκεῖνος,DET,Pd,det,False,False
134,ταῖς,ὁ,DET,S-,det,False,False
135,ἡμέραις,ἡμέρα,NOUN,Nb,obl,False,False
136,ἦλθεν,ἔρχομαι,VERB,V-,ccomp,False,False
137,Ἰησοῦς,ἰησοῦς,PROPN,Ne,nsubj,False,False
138,ἀπὸ,ἀπό,ADP,R-,case,False,False
139,Ναζαρὲτ,ναζαρά,PROPN,Ne,obl,False,False
140,τῆς,ὁ,DET,S-,det,False,False
141,Γαλιλαίας,γαλιλαία,PROPN,Ne,nmod,False,False
142,καὶ,καί,CCONJ,C-,cc,False,False
143,ἐβαπτίσθη,βαπτίζω,VERB,V-,conj,False,False
144,εἰς,εἰς,ADP,R-,case,False,False
145,τὸν,ὁ,DET,S-,det,False,False
146,Ἰορδάνην,ἰορδάνης,PROPN,Ne,obl,False,False
147,ὑπὸ,ὑπό,ADP,R-,case,False,False
148,Ἰωάννου,ἰωάν(ν)ης,PROPN,Ne,obl:agent,False,True
149,καὶ,καί,CCONJ,C-,cc,True,False
150,εὐθὺς,εὐθύς,ADV,Df,advmod,False,False
151,ἀναβαίνων,ἀναβαίνω,VERB,V-,advcl,False,False
152,ἐκ,ἐκ,ADP,R-,case,False,False
153,τοῦ,ὁ,DET,S-,det,False,False
154,ὕδατος,ὕδωρ,NOUN,Nb,obl,False,False
155,εἶδεν,ὁράω,VERB,V-,ROOT,False,False
156,σχιζομένους,σχίζω,VERB,V-,xcomp,False,False
157,τοὺς,ὁ,DET,S-,det,False,False
158,οὐρανοὺς,οὐρανός,NOUN,Nb,obj,False,False
159,καὶ,καί,CCONJ,C-,cc,False,False
160,τὸ,ὁ,DET,S-,det,False,False
161,πνεῦμα,πνεῦμα,NOUN,Nb,nsubj,False,False
162,ὡς,ὡς,ADV,Df,advcl,False,False
163,περιστερὰν,περιστερά,NOUN,Nb,nsubj,False,False
164,καταβαῖνον,καταβαίνω,VERB,V-,advcl,False,False
165,εἰς,εἰς,ADP,R-,case,False,False
166,αὐτόν,αὐτός,PRON,Pp,obl,False,False
167,καὶ,καί,CCONJ,C-,cc,True,False
168,φωνὴ,φωνή,NOUN,Nb,nsubj,False,False
169,ἐγένετο,γίγνομαι,VERB,V-,ROOT,False,False
170,ἐκ,ἐκ,ADP,R-,case,False,False
171,τῶν,ὁ,DET,S-,det,False,False
172,οὐρανῶν,οὐρανός,NOUN,Nb,obl,False,True
173,σὺ,σύ,PRON,Pp,nsubj,True,False
174,εἶ,εἰμί,AUX,V-,cop,False,False
175,ὁ,ὁ,DET,S-,det,False,False
176,υἱός,υἱός,NOUN,Nb,ROOT,False,False
177,μου,ἐγώ,PRON,Pp,det,False,False
178,ὁ,ὁ,DET,S-,det,False,False
179,ἀγαπητός,ἀγαπητός,ADJ,A-,nmod,False,True
180,ἐν,ἐν,ADP,R-,case,True,False
181,σοὶ,σύ,PRON,Pp,obl,False,False
182,εὐδόκησα,εὐδοκέω,VERB,V-,ROOT,False,True
183,Καὶ,καί,CCONJ,C-,cc,True,False
184,εὐθὺς,εὐθύς,ADV,Df,advmod,False,False
185,τὸ,ὁ,DET,S-,det,False,False
186,πνεῦμα,πνεῦμα,NOUN,Nb,nsubj,False,False
187,αὐτὸν,αὐτός,PRON,Pp,obj,False,False
188,ἐκβάλλει,ἐκβάλλω,VERB,V-,ROOT,False,False
189,εἰς,εἰς,ADP,R-,case,False,False
190,τὴν,ὁ,DET,S-,det,False,False
191,ἔρημον,ἔρημος,NOUN,Nb,obl,False,True
192,καὶ,καί,CCONJ,C-,cc,True,False
193,ἦν,εἰμί,AUX,V-,cop,False,False
194,ἐν,ἐν,ADP,R-,case,False,False
195,τῇ,ὁ,DET,S-,det,False,False
196,ἐρήμῳ,ἔρημος,NOUN,Nb,ROOT,False,False
197,τεσσεράκοντα,τεσσεράκοντα,NUM,Ma,nummod,False,False
198,ἡμέρας,ἡμέρα,NOUN,Nb,obl,False,False
199,πειραζόμενος,πειράζω,VERB,V-,advcl,False,False
200,ὑπὸ,ὑπό,ADP,R-,case,False,False
201,τοῦ,ὁ,DET,S-,det,False,False
202,σατανᾶ,σατανᾶς,PROPN,Ne,obl:agent,False,True
203,καὶ,καί,CCONJ,C-,cc,False,False
204,ἦν,εἰμί,AUX,V-,cop,False,False
205,μετὰ,μετά,ADP,R-,case,False,False
206,τῶν,ὁ,DET,S-,det,False,False
207,θηρίων,θηρίον,NOUN,Nb,nmod,False,False
208,καὶ,καί,CCONJ,C-,cc,False,False
209,οἱ,ὁ,DET,S-,det,False,False
210,ἄγγελοι,ἄγγελος,NOUN,Nb,nsubj,False,False
211,διηκόνουν,διακονέω,VERB,V-,conj,False,True
